㓦划	㓦劃
雕瑑	雕瑑
雕砌	雕砌
雕空	雕空
雕簇	雕簇
雕绘	雕繪
雕饰	雕飾
雕零	雕零
雕青	雕青
雕题	雕題
雕飕	雕颼
雕骚	雕騷
雕鹗	鵰鶚
雕龙	雕龍
雕云	雕雲
集合	集合
集团	集團
集录	集錄
集中托运	集中托運
集会游行法	集會遊行法
集体强奸	集體強姦
集注	集註
集游法	集遊法
集训团	集訓團
集资合建	集資合建
雷克	雷克
雷同	雷同
雷夫范恩斯	雷夫范恩斯
雷射血管成形术	雷射血管成形術
雷德克里夫	雷德克里夫
雷蒙	雷蒙
雷贾帕克斯	雷賈帕克斯
雷达搜索	雷達搜索
雷霆万钧	雷霆萬鈞
雷雨云	雷雨雲
雷马克	雷馬克
雷扎耶湖	雷扎耶湖
雷文克劳	雷文克勞
雷昂卡发洛	雷昂卡發洛
雨后	雨後
雨刮	雨刮
雨层云	雨層雲
雨布	雨布
雨散云收	雨散雲收
雨村曲话	雨村曲話
雨泽下注	雨澤下注
雨云	雨雲
雨余芳草斜阳	雨餘芳草斜陽
雨花台区	雨花臺區
雨露均沾	雨露均霑
雨魄云魂	雨魄雲魂
雪里	雪裏
雪铲	雪鏟
雪柜	雪櫃
雪茄烟	雪茄煙
雪狮子向火	雪獅子向火
雪窗萤几	雪窗螢几
零售价	零售價
零只	零隻
零周期	零週期
零布	零布
零余	零餘
零个	零個
零件厂	零件廠
雅克	雅克
雅库次克	雅庫次克
雅致	雅緻
雅舍	雅舍
雅范	雅範
雅鲁藏布大峡谷	雅魯藏布大峽谷
雅鲁藏布江	雅魯藏布江
雇主	僱主
雇佣	僱傭
雇农	僱農
雇到	僱到
雇员	僱員
雇工	僱工
雄才	雄才
雄据一方	雄據一方
雄斗斗	雄斗斗
雄师百万	雄師百萬
雾里	霧裏
雾锁云埋	霧鎖雲埋
雾台乡	霧臺鄉
雌雄同体	雌雄同體
雌雄同株	雌雄同株
铁拐	鐵柺
铁柜	鐵櫃
铁栏杆	鐵欄杆
铁面	鐵面
铁锤	鐵錘
铁雕	鐵雕
铁制	鐵製
铁厂	鐵廠
铁叶	鐵葉
铁合金	鐵合金
铁娘子	鐵娘子
铁胃团	鐵胃團
铁苏木	鐵蘇木
铁路干线	鐵路幹線
铁云藏龟	鐵雲藏龜
铁价	鐵價
铁甲虫	鐵甲蟲
铁索郎当	鐵索郎當
铲土	剷土
铲倒	剷倒
铲头	鏟頭
铲子	鏟子
铲射	剷射
铲平	剷平
铲抢	剷搶
铲掉	剷掉
铲板	剷板
铲草	剷草
铲起	剷起
铲车	剷車
铲雪	剷雪
铲铲	剷剷
铲除	剷除
铲下	剷下
铲伤	剷傷
铲煤	剷煤
铲球	剷球
链式	鏈式
链反应	鏈反應
链坠	鍊墜
链套	鏈套
链子	鏈子
链形	鍊形
链球	鏈球
链烃	鏈烴
链环	鏈環
链甲	鍊甲
链罩	鏈罩
链路	鏈路
链表	鏈表
链钳子	鏈鉗子
链霉素	鏈黴素
链扣	鏈釦
链接	鏈接
链条	鏈條
链椎	鏈椎
银柜	銀櫃
银核	銀核
银河系	銀河系
银制	銀製
银合欢	銀合歡
银团	銀團
银色冲浪手	銀色衝浪手
银丝卷	銀絲捲
银价	銀價
银针	銀針
银须	銀鬚
铜斗儿	銅斗兒
铜梁	銅梁
铜扣	銅釦
铜板	銅板
铜制	銅製
铜厂	銅廠
铜叶	銅葉
铜山西崩洛钟东应	銅山西崩洛鐘東應
铜钟	銅鐘
铺出	鋪出
铺向	鋪向
铺地板	鋪地板
铺面	鋪面
铺锦列绣	鋪錦列繡
铺了	鋪了
铺伙	鋪夥
铺盖卷儿	鋪蓋捲兒
铺眉蒙眼	鋪眉蒙眼
铝制	鋁製
铝合金	鋁合金
铅制	鉛製
铅字合金	鉛字合金
铸造出	鑄造出
铸钟	鑄鐘
黄发	黃髮
黄岩	黃岩
黄卷	黃卷
黄克强	黃克強
黄凤秋	黃鳳秋
黄历	黃曆
黄同纸	黃同紙
黄嘉千	黃嘉千
黄天荡	黃天蕩
黄山谷	黃山谷
黄州寒食诗卷	黃州寒食詩卷
黄干黑瘦	黃乾黑瘦
黄适卓	黃適卓
黄道周	黃道周
黄雀在后	黃雀在後
黄须	黃鬚
黄鹰抓住了鹞子的脚	黃鷹抓住了鷂子的腳
黄梁	黃梁
黄旭升	黃旭昇
黄明志	黃明志
黄有才	黃有才
黄松	黃松
黄毛团儿	黃毛團兒
黄老治术	黃老治術
黄育杰	黃育杰
黄花后生	黃花後生
黄英杰	黃英傑
黄莺出谷	黃鶯出谷
黄菓树瀑布	黃菓樹瀑布
黄蜡	黃蠟
黄蝶翠谷	黃蝶翠谷
黄表纸	黃表紙
黄运杰	黃運傑
黄炎贵胄	黃炎貴胄
黄珮筑	黃珮筑
黄白之术	黃白之術
黄了	黃了
黄俊杰	黃俊杰
黑暗	黑暗
黑手党	黑手黨
黑曜岩	黑曜岩
黑气冲天	黑氣沖天
黑沈沈	黑沈沈
黑发	黑髮
黑克索斯	黑克索斯
黑加仑	黑加侖
黑头虫	黑頭蟲
黑奴吁天录	黑奴籲天錄
黑尿症	黑尿症
黑布	黑布
黑面	黑麪
黑醋栗	黑醋栗
黑里	黑裏
黑须	黑鬚
黑不溜秋	黑不溜秋
黑胡椒	黑胡椒
黑豹党	黑豹黨
黑种	黑種
黑烟	黑煙
黑穗病	黑穗病
黎曼几何	黎曼幾何
黎曼曲面	黎曼曲面
黎曼面	黎曼面
黏合成	黏合成
默克尔	默克爾
风卷	風捲
风干	風乾
风刮	風颳
风力发电	風力發電
风发	風發
风团	風團
风云	風雲
风举云摇	風舉雲搖
风从虎云从龙	風從虎雲從龍
风速表	風速表
风铲	風鏟
风飞云会	風飛雲會
风情万种	風情萬種
风成砂岩	風成砂岩
风扫落叶	風掃落葉
风斗	風斗
风月宝鉴	風月寶鑑
风水术	風水術
风湿症	風溼症
风胡子	風胡子
风致	風致
风范	風範
风药	風藥
风虎云龙	風虎雲龍
风烟	風煙
风物志	風物誌
飞出	飛出
飞回	飛回
飞升	飛昇
飞向	飛向
飞征	飛征
飞必冲天	飛必沖天
飞腾之药	飛騰之藥
飞航资料记录器	飛航資料記錄器
飞虫	飛蟲
飞蚊症	飛蚊症
飞谷	飛谷
飞车党	飛車黨
飞个	飛個
飞针走线	飛針走線
飞铲	飛鏟
飞鸟尽良弓藏	飛鳥盡良弓藏
飞龙乘云	飛龍乘雲
飞烟传	飛煙傳
飞燕游龙	飛燕游龍
飞粮挽秣	飛糧輓秣
飞扎	飛紮
飞梁	飛樑
食心虫	食心蟲
食欲	食慾
食日万钱	食日萬錢
食用蜡烛木	食用蠟燭木
食货志	食貨志
食不下咽	食不下咽
食不充饥	食不充飢
食不糊口	食不餬口
食野之苹	食野之苹
食面	食麪
飘出	飄出
飘向	飄向
飘回	飄回
飘游	飄遊
飘摆	飄擺
飘飘欲仙	飄飄欲仙
飘飘荡荡	飄飄蕩蕩
陈幸	陳幸
陈克帆	陳克帆
陈冲	陳沖
陈列台	陳列臺
陈升	陳昇
陈嘉爵沈培智	陳嘉爵沈培智
陈建志	陳建志
陈云	陳雲
陈义丰	陳義豐
陈俊杰	陳俊傑
陈胜	陳勝
陈荣杰	陳榮傑
陈谷子烂芝麻	陳穀子爛芝麻
陈情表	陳情表
陈木胜	陳木勝
陈杰	陳杰
陈永丰	陳永豐
陈汉升	陳漢昇
陈瀛钟	陳瀛鐘
陈炼	陳鍊
陈郁秀	陳郁秀
陈隆志	陳隆志
陈面谟	陳面謨
陈鼎击钟	陳鼎擊鐘
降回	降回
降升调	降升調
降压药	降壓藥
降噪	降噪
降志辱身	降志辱身
降价	降價
降表	降表
限制	限制
限尽	限盡
限于	限於
限价	限價
附致语	附致語
附表	附表
附会假借	附會假借
附加价值	附加價值
附合	附合
附录	附錄
陆丰	陸豐
陆云	陸雲
陆克文	陸克文
陆均松	陸均松
陆征祥	陸徵祥
陆梁	陸梁
陆游	陸游
除恶	除惡
除旧布新	除舊佈新
除臭药	除臭藥
除不尽	除不盡
除了	除了
陪出	陪出
陶制	陶製
陶土制品	陶土製品
陶庵梦忆	陶庵夢憶
陶朱公	陶朱公
陶板屋	陶板屋
陷之死地而后生	陷之死地而後生
陷于	陷於
闲花野草	閒花野草
闲茶浪酒	閒茶浪酒
闲荡	閒蕩
闲是闲非	閒是閒非
闲淘气	閒淘氣
闲游	閒遊
闲余	閒餘
闲理会	閒理會
闲盘儿	閒盤兒
闲磕牙	閒磕牙
闲篇儿	閒篇兒
闲置不用	閒置不用
闲适	閒適
闲邪存诚	閒邪存誠
门里	門裏
门面	門面
门扣	門扣
门拐	門拐
门斗	門斗
门板	門板
门殚户尽	門殫戶盡
门前门后	門前門後
门吊儿	門吊兒
门帘	門簾
门当户对	門當戶對
闹出	鬧出
闹哄	鬧鬨
闹别扭	鬧彆扭
闹台	鬧臺
闹钟	鬧鐘
闹铃时钟	鬧鈴時鐘
闹饥荒	鬧饑荒
闹个	鬧個
闹了半天鬼	鬧了半天鬼
问出	問出
问当	問當
问个	問個
问了	問了
间充质干细胞	間充質幹細胞
间出	間出
间别	間別
间叶干	間葉幹
间奏曲	間奏曲
间接证据	間接證據
间深里	間深裏
闭卷	閉卷
闭合	閉合
闭门家里坐祸从天上来	閉門家裏坐禍從天上來
闭面	閉面
闯出去	闖出去
闯出来	闖出來
闯荡	闖蕩
闯进闯出	闖進闖出
闪出	閃出
闪含语系	閃含語系
闪念	閃念
闷出	悶出
闷在心里	悶在心裏
闻出	聞出
闻名于世	聞名於世
闵凶	閔凶
闵子里	閔子裏
马克	馬克
马布	馬布
马德里	馬德里
马利布	馬利布
马占山	馬占山
马噶尔尼使团	馬噶爾尼使團
马干	馬乾
马志英	馬志英
马提尼克	馬提尼克
马普托	馬普托
马格里布	馬格里布
马桶里	馬桶裏
马死黄金尽	馬死黃金盡
马鬣松	馬鬣松
马苏	馬蘇
马致远	馬致遠
马表	馬錶
马车夫	馬車伕
马云	馬雲
驾回	駕回
驾娘	駕娘
驾御	駕御
驾了	駕了
驾云	駕雲
驾雾腾云	駕霧騰雲
驾鹤西游	駕鶴西遊
驱虫剂	驅蟲劑
驱虫效率	驅蟲效率
驱逐出境	驅逐出境
驻扎地	駐紮地
驳回去	駁回去
驳回来	駁回來
郁郁	鬱郁
郁金	鬱金
郁邑	鬱邑
郁陶	鬱陶
郁馥	郁馥
郁黑	鬱黑
郁悒	鬱悒
郁愤	鬱憤
郁抑	鬱抑
郁挹	鬱挹
郁朴	郁樸
郁李	郁李
郁林	鬱林
郁气	鬱氣
郁江	鬱江
郁沉沉	鬱沉沉
郁泱	鬱泱
郁火	鬱火
郁燠	鬱燠
郁症	鬱症
郁离子	郁離子
郁积	鬱積
郁穆	郁穆
郁纡	鬱紆
郁结	鬱結
郁勃	鬱勃
郁哉	郁哉
郁垒	鬱壘
郁堙不偶	鬱堙不偶
郁塞	鬱塞
郁律	鬱律
郁蒸	鬱蒸
郁蓊	鬱蓊
郁血	鬱血
郁达夫	郁達夫
郑凯云	鄭凱云
郑卫之曲	鄭衛之曲
郑家钟	鄭家鐘
郑幸娟	鄭幸娟
郑庄公	鄭莊公
郑志龙	鄭志龍
郑梦准	鄭夢準
郑余豪	鄭余豪
郑俊杰	鄭俊傑
郑苹如	鄭蘋如
郑荣松	鄭榮松
都出	都出
都回	都回
都卜勒	都卜勒
都向	都向
都市计划	都市計劃
都于	都於
都俞吁咈	都俞吁咈
都肯干	都肯幹
都舍下	都捨下
郭勇志	郭勇志
郭子干	郭子乾
郭志明	郭志明
郭松焘	郭松燾
郭泓志	郭泓志
郎潜白发	郎潛白髮
郎个	郎個
郎之万	郎之萬
部胡林	部胡林
部党	部黨
部发	部發
郊坛下窑	郊壇下窯
郡县制度	郡縣制度
道克鲁	道克魯
道出	道出
道别	道別
道不了	道不了
道曲	道曲
道术	道術
道格拉斯麦克阿瑟	道格拉斯麥克阿瑟
道范长昭	道範長昭
道里区	道里區
遗胄	遺胄
遗范	遺範
遗葑菲采	遺葑菲采
遗表	遺表
遗迹	遺蹟
遗害万年	遺害萬年
遗恨千古	遺恨千古
遗愿	遺願
遗才	遺才
遗传钟	遺傳鐘
遗体告别式	遺體告別式
遮光板	遮光板
遮前掩后	遮前掩後
遮场面	遮場面
遮道挽留	遮道挽留
遮阳板	遮陽板
遮面	遮面
遮不了	遮不了
遮丑	遮醜
遮护板	遮護板
遮挽	遮挽
避向	避向
避孕药	避孕藥
避不见面	避不見面
避了	避了
避恶	避惡
避暑胜地	避暑勝地
避雷针	避雷針
避风台	避風臺
遣送回	遣送回
遣送出境	遣送出境
遣发	遣發
遣回	遣回
遥地里	遙地裏
遥念	遙念
遏云社	遏雲社
遍历	遍歷
遍布	遍佈
遐布	遐布
遐志	遐志
遨游四海	遨遊四海
遨游天下	遨遊天下
须发	鬚髮
须弥	須彌
须后水	鬚後水
须子	鬚子
须将有日思无日	須將有日思無日
须然	須然
须留	須留
须眉	鬚眉
须知	須知
须索	須索
须胡	鬚鬍
须菩堤	須菩堤
须虑	須慮
须要	須要
须髯	鬚髯
须陀洹	須陀洹
须须	鬚鬚
须根	鬚根
须捷	須捷
须是	須是
须毛	鬚毛
顶回	頂回
顶凶	頂兇
顶叶	頂葉
顶针	頂針
顶门针	頂門針
顶面	頂面
顶板	頂板
顶核	頂核
顶个	頂個
顶了	頂了
顾借	顧藉
顾后瞻前	顧後瞻前
顾复之恩	顧復之恩
顾念	顧念
顾曲	顧曲
顾正秋	顧正秋
顾问团	顧問團
顾面子	顧面子
顾颜面	顧顏面
顺发	順發
顺向	順向
顺当	順當
顺德者吉逆天者凶	順德者吉逆天者凶
顺朱儿	順硃兒
顺河回族区	順河回族區
顺适	順適
顺钟向	順鐘向
顺风后	順風後
项庄	項莊
项别骓	項別騅
顽症	頑症
顽童历险记	頑童歷險記
顽筑舞笈	頑筑舞笈
顿涅斯克	頓涅斯克
顿涅茨克	頓涅茨克
领出	領出
领回	領回
领台	領檯
领域里	領域裏
领带针	領帶針
领悟出	領悟出
领扣	領釦
领据	領據
领表	領表
领袖欲	領袖慾
预制	預製
预借	預借
预卜	預卜
预后	預後
预征	預徵
预想出	預想出
预料出	預料出
预期收入票据	預期收入票據
预测出	預測出
预防针	預防針
颠复	顛覆
颠倒乾坤	顛倒乾坤
颠儿面	顛兒面
颠乾倒坤	顛乾倒坤
颠仆	顛仆
颠覆	顛覆
颠连困苦	顛連困苦
颜面扫地	顏面掃地
颜面神经	顏面神經
颜面角	顏面角
颜面骨	顏面骨
颜回	顏回
颜志麟	顏志麟
题个	題個
题了	題了
题名录	題名錄
题库系统	題庫系統
题材范围	題材範圍
题材面	題材面
额发	額髮
额征	額徵
额我略历史	額我略歷史
频率合成	頻率合成
频率调制	頻率調製
高干	高幹
高升	高升
高唱入云	高唱入雲
高坛	高壇
高处不胜寒	高處不勝寒
高学历	高學歷
高岸深谷	高岸深谷
高梁	高梁
高性价	高性價
高挂	高掛
高政升	高政昇
高柏松	高柏松
高标准	高標準
高水准	高水準
高清愿	高清愿
高致病性	高致病性
高耸入云	高聳入雲
高良姜	高良薑
高英杰	高英傑
高跳台	高跳臺
高价	高價
高球杯	高球杯
高票当选	高票當選
高积云	高積雲
酒后	酒後
酒帘	酒帘
酒入舌出	酒入舌出
酒厂	酒廠
酒困	酒困
酒坛	酒罈
酒娘子	酒娘子
酒已干	酒已乾
酒恶	酒惡
酒曲	酒麴
酒有别肠	酒有別腸
酒杯	酒杯
酒柜	酒櫃
酒注子	酒注子
酒游花	酒游花
酒醴曲蘖	酒醴麴櫱
酒面	酒面
酒食征逐	酒食徵逐
酒肴	酒餚
酒胡	酒胡
酒药	酒藥
配合	配合
配出	配出
配制	配製
配发	配發
配件挂勾	配件掛勾
配位化合物	配位化合物
配种	配種
配给制度	配給制度
配药	配藥
配膳台	配膳檯
配水干管	配水幹管
配水系统	配水系統
酸疼	痠疼
酸痛	痠痛
酸酸咸咸	酸酸鹹鹹
酸麻	痠麻
酥松可口	酥鬆可口
酥松油脂	酥鬆油脂
酿出	釀出
酿制	釀製
酿造出来	釀造出來
酿酒厂	釀酒廠
错觉结合	錯覺結合
错落有致	錯落有致
错了	錯了
错不了	錯不了
错别字	錯別字
错化合物	錯化合物
错彩镂金	錯彩鏤金
销回	銷回
销出	銷出
销志	銷志
锅台	鍋臺
锅庄	鍋莊
锅烟子	鍋煙子
锦绣	錦繡
锦熏笼	錦熏籠
锦囊佳制	錦囊佳製
锦回文	錦迴文
锋出	鋒出
锋发韵流	鋒發韻流
锋面雨	鋒面雨
锡当河	錫當河
锚链孔	錨鏈孔
锤儿	錘兒
锤头	錘頭
锤子	錘子
锯了嘴的葫芦	鋸了嘴的葫蘆
锁扣	鎖釦
锁柜	鎖櫃
锈菌	鏽菌
锈蚀	鏽蝕
锺重发	鍾重發
锺馗	鍾馗
难出	難出
难当	難當
难偿所愿	難償所願
难分难舍	難分難捨
难割难舍	難割難捨
难咽	難嚥
难容于	難容於
难得糊涂	難得糊塗
难以出口	難以出口
难住了	難住了
难挨	難捱
难控制	難控制
难施面目	難施面目
难易适中	難易適中
难舍	難捨
难荫	難廕
隔出	隔出
隔别	隔別
隔向	隔向
隔周	隔週
隔山观虎斗	隔山觀虎鬥
隔房同辈	隔房同輩
隔断板	隔斷板
隔板	隔板
随口胡诌	隨口胡謅
随心所欲	隨心所欲
随想曲	隨想曲
随才器使	隨才器使
随时制宜	隨時制宜
随之而后	隨之而後
随于	隨於
隐几	隱几
隐占	隱佔
隐名合伙	隱名合夥
隐形涂料	隱形塗料
隐于	隱於
隐恶扬善	隱惡揚善
隐暗	隱暗
隐睪症	隱睪症
隐翅虫	隱翅蟲
隆准	隆準
隆回	隆回
隆冬	隆冬
隆极	隆極
隆河谷地	隆河谷地
长征	長征
长卷	長卷
长历	長曆
长头布	長頭布
长板	長板
长江后浪	長江後浪
长恶不悛	長惡不悛
长才	長才
长春师范学院	長春師範學院
长期借款	長期借款
长林丰草	長林豐草
长歌当哭	長歌當哭
长烟	長煙
长生药	長生藥
长程计划	長程計劃
长丰	長豐
长他人志气灭自己威风	長他人志氣滅自己威風
长谷	長谷
长胡	長鬍
长虫	長蟲
长辔远御	長轡遠御
长须	長鬚
长针	長針
长风万里	長風萬里
镇台	鎮臺
镜面	鏡面
镜里孤鸾	鏡裏孤鸞
镜鉴	鏡鑑
镂冰雕朽	鏤冰雕朽
镂彩摛文	鏤彩摛文
麦克	麥克
麦冬	麥冬
麦卡托	麥卡托
麦布莱	麥布萊
麦穗	麥穗
麦考马克	麥考馬克
麦达克斯	麥達克斯
麦托姆	麥托姆
麦格里	麥格里
麻布	麻布
麻做一团	麻做一團
麻叶皮	麻葉皮
麻吉死党	麻吉死黨
麻团	麻團
麻姑仙坛记	麻姑仙壇記
麻婆子的裹脚布	麻婆子的裹腳布
麻酱面	麻醬麪
麻栗坡	麻栗坡
麻杆	麻桿
麻油厂	麻油廠
麻涌	麻涌
麻痹不了	麻痹不了
麻痺不了	麻痺不了
麻胡	麻胡
麻药	麻藥
麟游县	麟遊縣
那借	那借
那卷	那捲
那回	那回
那当儿	那當兒
那个	那個
那么	那麼
那伙人	那夥人
那曲	那曲
那杯	那杯
那种	那種
那维克	那維克
邪恶	邪惡
邪曲	邪曲
邪术	邪術
邪不干正	邪不干正
邪不胜正	邪不勝正
邮汇	郵匯
邮购价格	郵購價格
邮购目录	郵購目錄
邱胜琦	邱勝琦
邱胜翊	邱勝翊
邻里乡党	鄰里鄉黨
邻里长	鄰里長
邢台县	邢臺縣
邢台地区	邢臺地區
邢台市	邢臺市
饥附饱飏	飢附飽颺
饥餐渴饮	飢餐渴飲
饥鹰饿虎	飢鷹餓虎
饥肠	飢腸
饥色	飢色
饥荒	饑荒
饥虎扑食	飢虎撲食
饥寒	飢寒
饥冻交切	飢凍交切
饥困	飢困
饥年	饑年
饥渴	飢渴
饥民	饑民
饥溺	飢溺
饥火中焚	飢火中焚
饥火烧肠	飢火燒腸
饥不可食寒不可衣	飢不可食寒不可衣
饥不择食	飢不擇食
饭后	飯後
饭团	飯糰
饱合	飽合
饱和化合物	飽和化合物
饱学秀才	飽學秀才
饱尝	飽嘗 飽嚐
饱当知人饥	飽當知人飢
饱汉不知饿汉饥	飽漢不知餓漢飢
饮杯	飲杯
饮水曲肱	飲水曲肱
饰扣	飾釦
饰板	飾板
饿死了	餓死了
饿殍枕借	餓殍枕藉
露出	露出
露台	露臺
露尸	露屍
露布	露布
露才	露才
露板	露板
露丑	露醜
露了	露了
露面抛头	露面拋頭
震旦方向	震旦方向
震栗	震慄
震波曲线	震波曲線
震源机制	震源機制
震荡	震盪
震耳欲聋	震耳欲聾
霉毒	黴毒
霉气冲天	黴氣沖天
霉菌	黴菌
霉运当头	黴運當頭
霉黑	黴黑
霉黧	黴黧
霍尔布鲁克	霍爾布魯克
霸才	霸才
霸据	霸據
霸术	霸術
霸占住	霸佔住
需才孔亟	需才孔亟
需求面	需求面
骨干	骨幹
骨子里	骨子裏
骨坛	骨罈
骨头里挣出来的钱才做得肉	骨頭裏掙出來的錢纔做得肉
骨岩岩	骨巖巖
骨里骨碌	骨裏骨碌
骨针	骨針
骗出	騙出
骗回	騙回
骗不了	騙不了
骗术	騙術
骗拐	騙拐
骑出	騎出
骑回	騎回
骑兵团	騎兵團
骑士团	騎士團
验尸	驗屍
验出	驗出
验收规范	驗收規範
验核	驗覈
香格里拉	香格里拉
香愿	香願
香斗	香斗
香烟	香菸
香熏	香薰
香皂	香皂
香蜡	香蠟
香菜叶	香菜葉
首当	首當
首尔	首爾
首席代表	首席代表
首开纪录	首開紀錄
首长制	首長制
首面	首面
首须	首須
馆舍	館舍
馆谷	館穀
馆里	館裏
馆际互借	館際互借
鸡兔同笼	雞兔同籠
鸡奸	雞姦
鸡尸牛从	雞尸牛從
鸡肤鹤发	雞膚鶴髮
鸡腿面	雞腿麪
鸡舍	雞舍
鸡虫得失	雞蟲得失
鸡丝	雞絲
鸡争鹅斗	雞爭鵝鬥
鸿胄	鴻胄
鸿范	鴻範
鸿蒙	鴻蒙
鸿运当头	鴻運當頭
鸿篇巨制	鴻篇鉅製
鸿篇巨著	鴻篇鉅著
鸿鹄之志	鴻鵠之志
鸿鹄大志	鴻鵠大志
鸟卜	鳥卜
鸟尽弓藏	鳥盡弓藏
鸟松乡	鳥松鄉
鸟里鸟气	鳥裏鳥氣
鸟面鹄形	鳥面鵠形
鸣钟列鼎	鳴鐘列鼎
龙须	龍鬚
龙里	龍里
龙钟	龍鍾
龙门吊	龍門吊
龙龛手鉴	龍龕手鑑
龙岩	龍巖
龙卷	龍捲
龙凤之表	龍鳳之表
龙利叶	龍利葉
龙发堂	龍發堂
龙嵩叶	龍嵩葉
龙斗虎伤	龍鬥虎傷
龙无云而不行	龍無雲而不行
龙烟铁矿	龍煙鐵礦
龙眼干	龍眼乾
龙种	龍種
鉴定	鑑定
鉴宝	鑑寶
鉴别能力	鑑別能力
鉴赏能力	鑑賞能力
鉴证	鑑證
鉴识	鑑識
鉴诫	鑑誡
鉴湖女侠	鑑湖女俠
鉴真和尚	鑑真和尚
韩制	韓製
韩升洙	韓昇洙
韩复矩	韓復榘
韩宗志	韓宗志
韩山师范学院	韓山師範學院
韩巴里	韓巴里
韩康卖药	韓康賣藥
韩彩英	韓彩英
韩侂胄	韓侂冑
韩信登坛	韓信登壇
音像制品	音像製品
音准	音準
音同	音同
音声如钟	音聲如鐘
音乐系	音樂系
韦布	韋布
韦后	韋后
韦娘	韋娘
韦庄	韋莊
鼻咽	鼻咽
鼻头出火	鼻頭出火
鼻梁	鼻樑
鼻无梁柱	鼻無梁柱
鼻烟壶	鼻菸壺
鼻烟盒	鼻菸盒
鼓出	鼓出
鼓台	鼓臺
鼓噪	鼓譟
鼓子曲	鼓子曲
鼓腹而游	鼓腹而遊
鼓荡	鼓盪
鼓足干劲	鼓足幹勁
鼓里	鼓裏
鼓面	鼓面
鼠肝虫臂	鼠肝蟲臂
鼠药	鼠藥
鼎折足	鼎折足
鼎泰丰	鼎泰豐
齐发	齊發
齐出	齊出
齐头并进	齊頭並進
齐姜	齊姜
齐庄	齊莊
齐打伙儿	齊打夥兒
齐民要术	齊民要術
齐烟九点	齊煙九點
齐王舍牛	齊王捨牛
齐足并驰	齊足並馳
齐足并驱	齊足並驅
齐驱并驾	齊驅並駕
齐驱并骤	齊驅並驟
齿危发秀	齒危髮秀
齿发	齒髮
齿录	齒錄
齿胄	齒胄
齿落发白	齒落髮白
魔术	魔術
魔板	魔板
魔表	魔錶
魔赛克	魔賽克
魏克	魏克
魏台复	魏臺復
魏幸雄	魏幸雄
魏征	魏徵
魏斯里史奈普	魏斯里史奈普
魏明谷	魏明谷
魁北克市	魁北克市
魁北克省	魁北克省
鹄发	鵠髮
鹄志	鵠志
鹤发	鶴髮
鹤吊	鶴弔
鹿谷	鹿谷
鹿车共挽	鹿車共挽
鹰扬万里	鷹揚萬里
鹰架栈台	鷹架棧臺
鬼谷子	鬼谷子
鬼迷了张天师	鬼迷了張天師
鬼怕恶人	鬼怕惡人
鬼才	鬼才
鬼气冲天	鬼氣沖天
鬼出电入	鬼出電入
鬼录	鬼錄
鬼针草	鬼針草
鬼门上占卦	鬼門上占卦
鬓发如银	鬢髮如銀
鱼松	魚鬆
鱼板	魚板
鱼游釜中	魚游釜中
鱼游釜底	魚游釜底
鱼台县	魚臺縣
醋坛	醋罈
醋娘子要食杨梅	醋娘子要食楊梅
鲜胄	鮮胄
鲜血淋漓	鮮血淋漓
鲜谷王	鮮穀王
鲁克斯	魯克斯
鞋扣	鞋釦
鞋柜	鞋櫃
鞋里	鞋裏
鞋面	鞋面
鞭虫	鞭蟲
鞠躬尽瘁死而后已	鞠躬盡瘁死而後已
鄂托克	鄂托克
餐松啖柏	餐松啖柏
发展	發展
发屋	髮屋
发射	發射
发封	發封
发尾	髮尾
发光	發光
发兆	發兆
发兵	發兵
发奋	發奮
发奉	發奉
发奖	發獎
发套	髮套
发好	發好
发出	發出
发凡	發凡
发函	發函
发号	發號
发发	發發
发叶	發葉
发动	發動
发功	發功
发头	發頭
发复	發覆
发天阴	發天陰
发夹	髮夾
发刊	發刊
发利市	發利市
发到	發到
发包	發包
发匪	髮匪
发匮	發匱
发单	發單
发卖	發賣
发卡	髮卡 發卡
发卷	髮捲
发回	發回
发困	發睏
发声器	發聲器
发声法	發聲法
发布	發佈
发市	發市
发带	髮帶
发引	發引
发开	發開
发式	髮式
发响	發響
发哑	發啞
发哥	發哥
发喉急	發喉急
发喊连天	發喊連天
发喘	發喘
发像管	發像管
发僵	發僵
发冢	發冢
发冷	發冷
发呆	發呆
发呕	發嘔
发售量	發售量
发嘎嘎声	發嘎嘎聲
发嘘声	發噓聲
发型师	髮型師
发如飞蓬	髮如飛蓬
发妻	髮妻
发威动怒	發威動怒
发完	發完
发家	發家
发廊	髮廊
发廪	發廩
发往	發往
发得	發得
发心	發心
发忿	發忿
发行	發行
发表	發表
发言者	發言者
发言遣辞	發言遣辭
发过	發過
发进	發進
发迹	發跡
发运	發運
发还	發還
发育	發育
发肤	髮膚
发肿	發腫
发财	發財
发货	發貨
发质	髮質
发贴	發貼
发达	發達
发辫	髮辮
发话	發話
发诨子	發諢子
发课	發課
发胀	發脹
发胖	發胖
发胡	發胡
发胶	髮膠
发脱	發脫
发脚	髮腳
发觉	發覺
发见	發見
发解	發解
发自	發自
发臭	發臭
发芽	發芽
发花	發花
发起人	發起人
发起来	發起來
发起烧来	發起燒來
发车	發車
发轫	發軔
发软	發軟
发轿	發轎
发色勒	髮色勒
发草帖	發草帖
发蒙振落	發蒙振落
发薪水	發薪水
发蜡条	髮蠟條
发讪	發訕
发议论	發議論
